,商品名,ショップ名,レビュー本文,星評価
0,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,作りがしっかりしていて着心地も良いです。夏に一枚羽織るにはぴったりです。色違いをリピートして買いたいと思います。,5
1,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,生地がしっかりしていてシンプルで色々な着こなしができます。 サイズが大きめなので普段着ているサイズからワンサイズ落とした表記の物をオススメします。ラフに着たい方は普段のサイズ通りを買えばちょうどいいです。,4
2,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,着心地も良くとてもよかったです。 １枚あるととても便利なクロシャツ。 時間のない時でもすぐに今日のコーデが決めやすいです。 ありがとうございました。,5
3,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,普段から色違いを着ていますが、生地が丈夫なので特にお気に入りです！ サイズも日本製の1から2サイズ小さいものを選んでいます。,5
4,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,普段から他メーカーのワークシャツを愛用しております。 ディッキーズに限った事では無いですが、この手のメーカーはサイズが大きいです。 ジャストで着たい方はワンサイズ下の物をおすすめします。 生地も作りもしっかりしていて、良い商品だと思います。,4
5,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,ディッキーズいいな。工業油とかの汚れも落ちやすいし、消耗はするけど長持ちするしシワにならないし、刺繍したりワッペン付けたら雰囲気変えて楽しめる。30年以上飽きてない。 日本の作業着メーカーのデザイン、胸ポケット斜めって全然カッコいいとは思わないし、パーツ付けすぎて乾きにくいらしいが、近代はそのダサくて不機能なデザインがほとんど。他の安いのは工場作業員みたいな施設系デザインで論外。,3
6,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,厚みのある生地で丈夫だから気温や作業内容により、薄手のREDKAPと使い分け。身幅がゆったりしているので日本の作業着より動きやすいし涼しい。,3
7,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,ディッキーズ のシャツは仕事で使用しているので定期的に購入しています。 生地が丈夫でサイズも少しゆったりめなので気に入ってます。 欠品色が多く買えない時があるので人気色は多めに在庫して頂けると助かります。,5
8,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,背中にプリントして会社の制服にしました。 「作業服」だからカジュアルですけど、仕事感もあって事務所でもお勧めです。あとロットによって少し仕様の違いがありますが、かなり大きめです。普段M〜Lの女子ならXSサイズです。男子はひとつ小さめのサイズで。因みにパンツインできない程の長さです。,5
9,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,ゆったりと着れそうなので購入しました、正解でした、生地もしっかりしていて縫製も良く丈夫そうです、長く着れそうです。,5
10,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,通常は日本の標準的なMサイズが仕立てたようにピッタリなのですが、このシャツはSでもLくらいの大きさです。これ以上小さいサイズは無いので、日本のMサイズをご希望の場合はボーイズのものから探したほうが良いと思いました。,2
11,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,仕事するのに購入 いい感じ 生地もしっかりして とっても良い,5
12,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,仕事用で使用していますが、胸にポケットが２つ付いているのが気に入っています。ポケットの蓋(名称がわかりません)は糸をほどいてはずしています。,5
13,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,品物もよく素材もよいです。ワンランク下げて頼んだいいと思います・ 生地もしっかりしていて色落ちもしません。,5
14,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,アメリカサイズという事で2サイズくらい表示は小さくしておけばよいかと思い最初は2XLを注文しましたが、ビックリするくらい大きくてすぐ返品させていただきました。この際のお見せの迅速な対応が非常に好感がもてました。 色合いや生地の質感はすごく好みのものでしたのですぐにXLを注文したところサイズ感はバッチリでした。 ダボダボだと作業着感が一際目立ちましたが、サイズが合うとジーンズと合わせれば格好良く着こなせます。 また別の色も欲しくなってきました。 この度は、迅速なご対応ありがとうございました。,5
15,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,注文時にサイズを間違えてしまい、ＬＬの予定がＳが届きました。ただ、開封して試しに着た際に気づいたのですが、意外と着られなくはない感じでした。なので、商品自体は大き目なのかなと思います。私は着ないで弟にあげましたけど（笑）,4
16,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,ガルフブルーのSサイズ購入。１７３ｃｍ６５ｋｇ（ディッキーズチノ系はウエスト29インチぴったりで着用）筋肉質な感じでぴったりフィット。ワーカースタイルもワッペンをつけたりすれば雰囲気満点。個人主観になりますがMサイズも持ってますがまあまあゆとりがあり動きやすいので本気で仕事着なら普段着サイズで。ストリート・チカーノ系はオーバーサイズで。スマートに着こなすならワンサイズダウンでよろしいかと思います。全体的に着丈は長め。こだわるなら丈詰めかな。この手のシャツはサイズで雰囲気が結構かわるので見た目スタイルを重視る場合は慎重に選んだ方が良いと感じます。,5
17,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,普段2L～3Lを着ていますが、 此方はLサイズが調度良い感じでした。 生地もしっかりしており、着心地もいいです。 リピートしたいです。,5
18,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,175ｃｍ 62ｋｇで、アメリカサイズはM、日本サイズはXLでMを着ています。 Mでは少し大き目かなと思うのですが、重ね着をするので丁度良いです。 今回の商品は、首回りがきつくなかったのですが、前に購入した商品は首がきつめでした。 ロットによって微妙に違うこともあります。 こちらはサイズ表記やモデルさんの着用感もあり、選びやすいです。 また、配送される箱はかっこいいのでプレゼントが送られてきたようで嬉しいです。,5
19,ディッキーズ ワークシャツ 半袖 1574 作業着 メンズ USAモデル Dickies 半袖シャツ 作業服 大きいサイズ,Dickis,Ｌサイズをお願いしました。 他の方のコメント通りワンサイズ小さいのを注文しました。 胸囲110の自分でも余裕あってボタン出来ました。 USサイズなんで当たり前ですが丈が短いと更に良いなと個人的に思いました。,5
20,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,今回こちらのストアのトレーナーを購入しました。色はネイビーで英語の文字がイエローで文字がパッと明るい感じが気に入り購入しました。 サイズもちょうどいいので良かったです。,4
21,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,私はこのトレーナーのMサイズを購入しました。 サイズもちょうどいい感じで良かったです。 あとプリントのピーナッツ柄も可愛い感じでとても良かったです。,4
22,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,質感はやや薄め。 普段XLでXLを頼みましたがジャストフィット。ご参考までに。 今回6枚注文したのですが、紺に黄文字のやつが抜きん出てカッコよかったです。,3
23,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,大きさは普段Ｌを着ていますが標準的なサイズ選択で大丈夫そうです 品物は裏起毛とはいえ生地はかなり薄く 長袖のＴシャツとき間違えるくらいです 防寒用で購入しましたが安いなりで安物買いの何とかになりました,2
24,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,厚手がいい人には向かないと思います。でも薄くて軽いです。サイズがメンズとレディースであまり変わらないような気がします。,3
25,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,部屋着は、ゆったり着たいのでいつもメンズのMサイズを購入します。ほしい色は売り切れていたので、グレーと黒を購入しました。気にいっています。梱包も袋包装なので、簡易で良いと思います。,5
26,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,部屋着用にまとめて購入しました。 生地薄いかな？っておもいましたが、冬場のなかなか洗濯が乾かないなか、早めに乾くし、裏起毛でかなり良いです。,5
27,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,お値段がお手頃価格なので3着購入しました。 犬に少しガリガリされて毛玉ができたけど、 お値打ちです,3
28,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,この値段で買えたのが素晴らしい☆絵も可愛くて色も好きな色で着るのが楽しみです♪こちらのストアはあたし好みの服が安くたくさんあるのでまた色々買います！ありがとうございます♪,5
29,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,とってもかわいいのですが、しばらくすると毛玉ができてしまいました。気に入ってるので着ていますが、外には出れなくて残念です。,3
30,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,Lサイズで丁度だったのでLLサイズで3着リピしました。柄も可愛くて気に入っています。何回か洗濯したら毛玉が出来そうな感じの生地です。,5
31,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,Lサイズでちょうどだったので、リピでLLで3着買いました。 やっぱり私的にはLLが良かったです。Lサイズは寝巻きにします(´ω`),5
32,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,思っていたデザイン届いてみたら、とてもかわいいので普段着につかえそうです。 サイズも少し大きいぐらいが良かったので、私にはちょうどいいです。 ありがとうございました。,4
33,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,ピンクベージュ、オートミール、グリーンを注文しました。生地は軽めで 薄いです。裏起毛なので 寒くはないです。今くらいの春先の気候にピッタリです。生地が薄めなので 洗濯しても 早く乾いて助かります。 襟元と袖口の生地も薄めで すぐに伸びそうですが 2シーズンくらい着れたら このお値段で お得だと思います。 色合いも 写真の通りでした。 155cmでMサイズにしましたが 丁度良い感じでした。,4
34,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,自分用に購入しました。 軽くて、とっても温かい。デザインも可愛いです。 なにより、とってもお安い！！ またリピートしたいです。,5
35,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,157㎝の私!! ゆったり〜！ダブダブ〜！に！着たく！ LLを購入！ お尻がすっぽり隠れて！ 手もすっぽりと隠れます！ ゆったりと着たい方にはLLがいいのかも⁉ 満足です!!,5
36,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,気軽に着れそうで購入いたしました。 思った通りの良い感じのカジュアルさでありがたいです！ またよろしくお願いいたします♪,5
37,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,まだ肌寒い為、家で着用するために数店購入しました。大きめがよくLを購入したところ主人も欲しがって追加購入。数回洗濯しましたが目立つ毛玉もできてません。,5
38,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,商品の到着がはやくて助かりました！ 薄いのですがとても暖かいです。 生地も柔らかくて着心地がとても良いです。 また購入したいです。,5
39,スウェット トレーナー メンズ レディース 裏起毛 アメカジ ロゴ ミリタリー ストリート ブラック ホワイト ネイビー カーキ グレー ゆったりサイズ,CharaBasket,すぐに届きました。そんなに厚めの素材ではないのですが、裏起毛であたたかいです。サイズはピッタリな感じですが、少し小さめかもしれません。最近はオーバーサイズばかりですが、普通のトレーナーが欲しかったので良かったです。違う色も購入しようと思います。,5
40,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS436,Dickies,もっているサイズと同じ物の、色違いを購入しました。ペインターパンツとの相性が良いので、一緒に着ています。何枚あっても良いTシャツです。,5
41,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS437,Dickies,良い色、サイズ気に入ってるのは、早く購入しないと、なくなるのが、早いので、すぐ購入！値段もお手頃！生地も良い！サイズだけは注意して。大きいサイズありがたいです,5
42,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS438,Dickies,前から購入してます、Tシャツこれ以外きません。,5
43,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS439,Dickies,こないだ、見たときは、在庫なかったので、諦めたけど 再入荷したみたいで、欲しい色やサイズあったので即、購入！サイズはフレッシュボックスさんの常連客さんなら、わかってると思いますが、基本大きめなので、体が大きい人は助かります！値段も他に比べて安いと思います！今回はタイミングよく、1800円台で購入できました。複数枚購入しとけば、後悔でしたが。チェックしてると安い時期ありますが、在庫なかったりとタイミング良いと安い価格で買えると思います！,5
44,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS440,Dickies,いつも買っています。首もとが強いのでおすすめ,3
45,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS441,Dickies,大きめのサイズがなかなかないので助かりました。着心地、質感、カラーの豊富さとてもよく、コスパ良いです。,5
46,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS442,Dickies,何回も購入させていただいております。 生地がしっかりしていてサイズもバッチリです,5
47,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS443,Dickies,丈が長いかな後はいい感じボトム太めでいけそぅな感じかな？170の68でMでゆとりある感じ。,4
48,Dickies ディッキーズ Tシャツ 半袖 メンズ ポケット ポケT ワンポイント ブランド 大きいサイズ アメカジ ストリート USAモデル WS444,Dickies,作りがしっかりしていて色もかっこいいです！ でぶの旦那が、Ｍサイズでぴったりでした,5
